Date,Expense Category,Amount
2020-06-25,Vehicle Lease,892.47
2021-06-04,Rent,1491.89
2020-04-23,Utilities,746.43
2021-01-28,Office Supplies,587.90
2022-07-30,Meals & Entertainment,1774.71
2020-10-28,Utilities,1332.42
2019-07-15,Salaries & Benefits,1567.50
2022-01-27,Office Supplies,1476.71
2020-01-25,Salaries & Benefits,584.08
2020-11-20,Utilities,762.20
2021-04-13,Utilities,701.62
2022-10-22,Vehicle Lease,1178.59
2020-04-25,Utilities,264.74
2022-11-07,Meals & Entertainment,1505.69
2022-04-04,Meals & Entertainment,1589.06
2019-01-18,Vehicle Lease,1502.73
2022-01-09,Office Supplies,1855.85
2021-05-29,Office Supplies,515.54
2021-03-30,Rent,404.13
2022-05-20,Vehicle Lease,967.82
2020-12-31,Salaries & Benefits,303.29
2019-09-14,Vehicle Lease,808.45
2022-06-13,Meals & Entertainment,1605.57
2019-03-07,Meals & Entertainment,1329.35
2021-05-11,Fuel,1790.56
2020-06-25,Utilities,635.51
2021-07-16,Rent,1999.37
2019-07-28,Meals & Entertainment,104.36
2020-03-25,Fuel,1975.71
2021-10-07,Fuel,1659.38
2020-02-24,Office Supplies,1494.23
2019-03-14,Vehicle Lease,1723.55
2020-07-12,Salaries & Benefits,937.79
2020-01-18,Salaries & Benefits,1934.94
2021-02-27,Office Supplies,1275.22
2022-08-05,Utilities,1189.42
2020-01-09,Rent,1838.40
2019-01-06,Salaries & Benefits,285.31
2022-11-13,Office Supplies,1885.58
2020-03-11,Rent,407.90
2019-02-27,Office Supplies,1238.61
2021-07-22,Utilities,1493.21
2020-07-13,Office Supplies,1770.67
2022-06-26,Meals & Entertainment,468.84
2019-10-25,Salaries & Benefits,1569.52
2022-12-30,Office Supplies,1856.59
2022-01-03,Meals & Entertainment,1868.59
2021-04-18,Utilities,1947.07
2020-02-25,Rent,1500.18
2022-07-07,Fuel,1176.17
2022-04-17,Rent,1245.74
2020-11-24,Vehicle Lease,1852.89
2022-04-23,Salaries & Benefits,1963.96
2022-01-26,Salaries & Benefits,755.55
2021-02-27,Rent,153.50
2021-05-01,Office Supplies,1095.66
2020-08-06,Vehicle Lease,1420.82
2021-05-27,Fuel,1907.15
2021-01-28,Meals & Entertainment,1084.73
2019-05-25,Office Supplies,368.17
2020-08-18,Office Supplies,471.26
2022-01-20,Utilities,173.28
2019-09-20,Rent,686.28
2021-03-14,Vehicle Lease,1847.56
2020-10-09,Meals & Entertainment,1528.77
2020-09-12,Salaries & Benefits,1595.57
2019-08-16,Meals & Entertainment,318.84
2021-08-27,Meals & Entertainment,1437.42
2022-09-13,Vehicle Lease,1696.24
2022-02-10,Utilities,1365.99
2020-11-23,Office Supplies,1400.58
2022-06-06,Rent,1268.52
2020-09-17,Rent,1701.06
2019-10-28,Vehicle Lease,561.43
2022-12-17,Rent,1754.00
2019-09-10,Fuel,217.10
2021-05-27,Vehicle Lease,1564.31
2021-12-12,Salaries & Benefits,965.60
2022-08-16,Vehicle Lease,1204.06
2022-05-24,Salaries & Benefits,1435.81
2022-10-25,Rent,1921.24
2022-08-21,Office Supplies,346.60
2022-04-23,Office Supplies,1916.39
2021-06-04,Office Supplies,429.40
2020-09-09,Rent,1393.93
2019-06-13,Office Supplies,1317.42
2021-06-10,Salaries & Benefits,1704.18
2020-10-09,Fuel,1880.93
2022-02-05,Vehicle Lease,308.12
2020-06-09,Office Supplies,845.52
2021-08-02,Office Supplies,1582.91
2019-01-14,Rent,243.41
2019-11-21,Vehicle Lease,1865.04
2020-08-16,Vehicle Lease,1850.70
2020-12-04,Vehicle Lease,711.19
2022-12-02,Rent,1892.13
2022-07-06,Salaries & Benefits,820.98
2022-02-16,Salaries & Benefits,1933.37
2022-07-24,Salaries & Benefits,358.76
2019-03-23,Utilities,1548.32
2021-08-05,Salaries & Benefits,785.06
2022-10-15,Vehicle Lease,367.35
2019-02-25,Salaries & Benefits,175.64
2022-03-26,Utilities,1677.91
2021-06-21,Rent,1823.55
2019-01-03,Utilities,870.06
2022-12-19,Vehicle Lease,1440.09
2020-12-10,Utilities,146.52
2022-03-21,Utilities,291.12
2020-02-08,Fuel,1625.03
2022-04-03,Utilities,1427.45
2022-08-12,Office Supplies,1208.21
2019-02-20,Rent,990.10
2019-02-25,Utilities,199.43
2022-07-29,Utilities,1094.60
2022-05-02,Utilities,702.28
2022-10-10,Meals & Entertainment,952.16
2021-03-30,Utilities,579.84
2021-01-28,Office Supplies,583.27
2021-08-12,Meals & Entertainment,1962.08
2022-06-10,Office Supplies,700.84
2021-04-15,Rent,276.59
2020-07-15,Meals & Entertainment,348.07
2021-07-24,Utilities,1796.09
2019-02-25,Vehicle Lease,1302.08
2022-04-21,Meals & Entertainment,622.07
2020-08-05,Office Supplies,887.51
2020-03-14,Utilities,517.93
2020-02-15,Meals & Entertainment,1591.09
2019-10-14,Fuel,1796.06
2021-07-26,Rent,820.50
2021-05-22,Meals & Entertainment,942.54
2019-02-14,Office Supplies,1073.16
2020-01-09,Rent,1395.90
2021-11-27,Office Supplies,825.30
2022-02-05,Utilities,723.40
2021-05-22,Fuel,975.69
2022-04-04,Meals & Entertainment,1185.40
2021-05-17,Utilities,792.27
2020-09-15,Office Supplies,637.40
2020-05-05,Meals & Entertainment,1462.28
2021-12-30,Salaries & Benefits,1544.64
2020-04-12,Rent,1651.47
2020-06-21,Rent,1474.49
2019-07-28,Rent,1531.56
2021-09-13,Fuel,1806.68
2022-05-17,Salaries & Benefits,1824.11
2019-07-06,Salaries & Benefits,811.66
2022-02-02,Vehicle Lease,1839.10
2021-04-03,Rent,726.13
2022-09-07,Office Supplies,1202.06
2019-08-17,Office Supplies,1484.62
2019-02-19,Vehicle Lease,1285.80
2021-08-07,Rent,1389.78
2022-08-20,Utilities,542.52
2020-09-17,Office Supplies,155.68
2019-12-13,Utilities,162.63
2022-02-19,Salaries & Benefits,604.80
2019-11-06,Fuel,658.88
2021-08-21,Utilities,847.06
2021-10-30,Meals & Entertainment,1716.78
2020-04-28,Salaries & Benefits,1890.57
2021-04-11,Office Supplies,1487.97
2020-01-12,Rent,742.07
2020-12-19,Utilities,1421.66
2022-06-26,Salaries & Benefits,932.02
2021-06-07,Rent,1058.62
2022-03-01,Fuel,206.80
2021-03-09,Vehicle Lease,1157.25
2019-05-31,Fuel,1240.38
2020-08-03,Utilities,146.36
2019-12-02,Utilities,879.33
2019-05-30,Fuel,716.68
2020-04-05,Fuel,1826.02
2022-04-07,Office Supplies,1593.60
2020-10-16,Fuel,1312.68
2019-09-29,Utilities,1911.11
2019-08-15,Office Supplies,1085.34
2020-01-01,Salaries & Benefits,1662.35
2022-05-30,Office Supplies,1569.04
2019-02-06,Meals & Entertainment,178.49
2022-07-25,Salaries & Benefits,1390.41
2020-06-06,Office Supplies,374.79
2020-09-16,Fuel,1104.62
2022-01-20,Office Supplies,1427.90
2021-02-17,Office Supplies,1272.41
2019-08-15,Vehicle Lease,1843.72
2022-01-25,Salaries & Benefits,1407.33
2022-12-26,Office Supplies,175.03
2019-02-09,Utilities,1391.95
2022-02-13,Office Supplies,1281.36
2021-12-28,Utilities,1963.81
2020-04-16,Rent,403.42
2019-09-06,Utilities,722.42
2021-01-30,Salaries & Benefits,654.29
2019-07-25,Utilities,1715.12
2019-02-26,Vehicle Lease,1859.11
2022-02-13,Salaries & Benefits,196.52
2020-12-18,Utilities,1998.21
2020-01-31,Office Supplies,1166.16
2022-11-20,Fuel,1466.68
2020-12-23,Fuel,872.81
2020-05-12,Utilities,877.63
2019-09-16,Meals & Entertainment,1156.82
2019-12-14,Salaries & Benefits,570.20
2019-05-17,Rent,1531.29
2022-03-20,Fuel,733.90
2022-02-22,Utilities,1142.10
2019-07-01,Office Supplies,1643.77
2020-02-09,Utilities,1579.48
2019-07-15,Meals & Entertainment,851.50
2021-01-18,Meals & Entertainment,589.93
2021-03-19,Salaries & Benefits,774.67
2020-08-02,Utilities,827.41
2020-02-12,Office Supplies,1569.05
2020-07-02,Meals & Entertainment,1223.15
2020-12-29,Vehicle Lease,391.54
2019-01-04,Meals & Entertainment,1067.08
2019-10-08,Salaries & Benefits,856.56
2019-08-04,Rent,1689.39
2020-06-22,Salaries & Benefits,328.92
2020-07-09,Utilities,156.95
2021-10-11,Meals & Entertainment,509.82
2022-10-07,Fuel,1091.73
2021-09-20,Salaries & Benefits,1780.57
2019-08-27,Vehicle Lease,639.65
2019-06-09,Utilities,1222.56
2021-12-19,Meals & Entertainment,1664.07
2022-11-05,Vehicle Lease,236.41
2020-01-07,Office Supplies,1773.81
2022-05-30,Office Supplies,165.96
2021-10-12,Utilities,659.73
2021-09-28,Vehicle Lease,651.90
2021-08-08,Meals & Entertainment,1607.11
2019-07-16,Meals & Entertainment,1035.20
2019-04-16,Rent,1560.05
2020-09-21,Rent,883.27
2020-03-23,Utilities,1207.49
2019-09-26,Office Supplies,1419.11
2020-11-16,Fuel,1591.37
2019-03-09,Utilities,311.26
2021-01-20,Rent,461.43
2021-05-29,Fuel,943.47
2020-02-24,Office Supplies,801.39
2020-09-30,Office Supplies,332.20
2019-03-23,Vehicle Lease,1887.99
2022-02-10,Meals & Entertainment,467.27
2020-07-05,Vehicle Lease,1960.54
2022-09-03,Meals & Entertainment,1603.72
2021-08-09,Fuel,990.20
2019-01-12,Vehicle Lease,1747.25
2021-06-01,Vehicle Lease,1997.13
2020-05-31,Rent,980.29
2019-12-13,Utilities,511.49
2020-07-09,Rent,371.44
2020-11-04,Vehicle Lease,126.41
2019-08-20,Office Supplies,174.71
2021-07-20,Salaries & Benefits,1371.11
2019-01-25,Salaries & Benefits,413.15
2019-12-19,Fuel,917.68
2019-10-13,Rent,1745.99
2022-10-26,Utilities,901.91
2022-12-10,Rent,977.56
2019-04-29,Salaries & Benefits,688.50
2022-06-02,Fuel,1733.82
2021-10-02,Vehicle Lease,553.92
2020-08-16,Office Supplies,1525.20
2022-06-09,Rent,1947.56
2019-02-15,Meals & Entertainment,1212.10
2021-08-26,Fuel,1632.30
2021-08-08,Utilities,1253.77
2020-08-16,Salaries & Benefits,573.99
2021-09-02,Vehicle Lease,1909.42
2020-05-27,Rent,1715.01
2021-06-20,Vehicle Lease,1376.04
2022-11-12,Office Supplies,1882.68
2019-04-12,Vehicle Lease,134.56
2022-03-15,Office Supplies,1615.93
2020-03-19,Utilities,1531.01
2019-10-30,Meals & Entertainment,175.94
2020-12-10,Meals & Entertainment,1112.30
2022-12-09,Vehicle Lease,286.91
2022-02-19,Meals & Entertainment,1376.68
2022-07-19,Salaries & Benefits,1150.69
2019-12-03,Rent,470.17
2022-10-20,Rent,1486.61
2020-08-22,Rent,1781.23
2021-12-29,Utilities,1197.45
2022-09-27,Rent,1015.63
2020-10-02,Meals & Entertainment,669.65
2019-04-28,Rent,650.77
2020-07-02,Meals & Entertainment,1309.39
2019-04-18,Rent,476.85
2022-04-14,Office Supplies,1623.67
2022-12-08,Vehicle Lease,1915.65
2021-03-27,Meals & Entertainment,343.71
2021-10-13,Fuel,1796.85
2020-06-25,Meals & Entertainment,434.72
2022-03-03,Utilities,804.82
2022-07-24,Rent,272.04
2022-07-19,Rent,374.90
2020-11-11,Meals & Entertainment,665.55
2020-11-11,Utilities,1223.72
2022-07-31,Utilities,1827.57
2022-10-31,Salaries & Benefits,1954.87
2021-11-16,Vehicle Lease,828.56
2022-07-31,Fuel,211.98
2019-04-15,Salaries & Benefits,319.98
2019-02-25,Rent,1947.67
2022-08-10,Office Supplies,1607.34
2019-11-02,Vehicle Lease,1364.25
2021-05-09,Utilities,1597.36
2022-08-09,Salaries & Benefits,1573.53
2020-10-08,Office Supplies,1882.94
2022-10-24,Office Supplies,394.28
2019-10-08,Rent,1028.63
2021-09-12,Salaries & Benefits,510.73
2020-12-14,Salaries & Benefits,640.35
2021-02-01,Vehicle Lease,742.89
2021-04-14,Salaries & Benefits,722.92
2022-10-09,Utilities,836.45
2021-07-23,Meals & Entertainment,1956.01
2019-12-12,Meals & Entertainment,946.51
2019-12-24,Fuel,1211.05
2021-04-22,Fuel,791.40
2019-07-10,Salaries & Benefits,600.73
2020-03-10,Vehicle Lease,595.43
2019-04-18,Meals & Entertainment,322.68
2019-07-30,Salaries & Benefits,666.36
2019-12-30,Rent,853.24
2022-07-20,Vehicle Lease,1470.56
2020-06-13,Rent,920.62
2020-07-01,Rent,515.53
2019-03-29,Salaries & Benefits,1033.95
2020-06-27,Vehicle Lease,1525.04
2021-02-11,Vehicle Lease,1303.50
2022-06-20,Fuel,209.25
2022-04-02,Meals & Entertainment,1956.45
2022-04-25,Salaries & Benefits,1817.85
2020-01-04,Vehicle Lease,1465.83
2022-01-23,Vehicle Lease,536.69
2019-07-17,Fuel,1762.58
2019-01-10,Utilities,881.38
2019-05-28,Utilities,327.27
2019-06-01,Vehicle Lease,1560.34
2020-10-27,Fuel,337.07
2020-07-29,Vehicle Lease,334.43
2021-05-18,Office Supplies,1786.16
2020-05-05,Office Supplies,1315.89
2020-04-17,Office Supplies,1182.93
2022-04-18,Salaries & Benefits,1116.95
2020-11-08,Vehicle Lease,912.64
2020-09-24,Office Supplies,1790.01
2020-04-09,Utilities,999.50
2022-09-02,Meals & Entertainment,920.29
2019-01-30,Rent,797.99
2022-10-02,Meals & Entertainment,1104.65
2019-10-22,Utilities,1789.36
2022-01-06,Salaries & Benefits,935.84
2019-06-14,Vehicle Lease,1221.39
2020-03-09,Office Supplies,1547.08
2019-09-05,Meals & Entertainment,415.68
2020-11-26,Vehicle Lease,1343.39
2019-08-17,Office Supplies,680.05
2021-06-07,Meals & Entertainment,1275.96
2019-08-13,Rent,1286.58
2022-07-13,Salaries & Benefits,1924.01
2020-03-26,Salaries & Benefits,1543.36
2022-04-30,Vehicle Lease,1196.95
2020-11-11,Meals & Entertainment,596.27
2022-08-29,Rent,1888.78
2021-02-24,Rent,1382.67
2022-06-03,Office Supplies,1447.34
2021-12-20,Utilities,537.20
2020-02-21,Salaries & Benefits,1022.58
2021-01-25,Salaries & Benefits,1555.07
2019-07-27,Meals & Entertainment,1422.06
2020-01-28,Salaries & Benefits,1789.23
2021-10-09,Salaries & Benefits,835.24
2022-04-26,Vehicle Lease,858.10
2022-03-02,Salaries & Benefits,1535.42
2020-11-10,Fuel,1934.06
2019-07-07,Fuel,1142.24
2020-04-29,Fuel,1759.94
2022-10-23,Office Supplies,179.11
2022-09-19,Salaries & Benefits,1038.98
2020-03-24,Utilities,591.93
2021-03-04,Rent,1275.82
2021-05-13,Meals & Entertainment,1613.59
2020-09-18,Office Supplies,981.66
2021-06-20,Rent,1112.47
2021-06-23,Utilities,1891.38
2019-02-07,Fuel,429.68
2021-04-05,Rent,1171.41
2022-03-28,Fuel,422.80
2019-11-28,Utilities,946.07
2019-10-01,Office Supplies,1904.16
2020-12-29,Vehicle Lease,1706.18
2019-01-31,Utilities,1467.97
2022-04-18,Salaries & Benefits,1286.89
2021-10-28,Vehicle Lease,359.46
2022-12-17,Utilities,1012.12
2020-03-24,Utilities,1371.81
2019-12-16,Rent,1393.36
2021-05-25,Fuel,1413.26
2020-04-26,Vehicle Lease,297.57
2020-05-20,Office Supplies,1141.32
2022-10-07,Salaries & Benefits,1762.28
2020-04-06,Meals & Entertainment,365.97
2022-05-28,Utilities,1835.20
2022-05-21,Meals & Entertainment,664.28
2022-01-13,Fuel,912.95
2020-03-02,Utilities,441.89
2019-06-04,Office Supplies,504.39
2019-05-04,Meals & Entertainment,1166.52
2019-07-07,Utilities,691.29
2021-01-11,Salaries & Benefits,1076.64
2019-01-10,Salaries & Benefits,1924.07
2019-01-05,Vehicle Lease,498.46
2020-05-04,Fuel,1728.81
2022-10-02,Office Supplies,1033.42
2021-01-27,Utilities,1729.11
2021-05-31,Meals & Entertainment,1915.99
2021-05-19,Meals & Entertainment,1550.37
2020-11-04,Office Supplies,1359.16
2021-01-21,Rent,1668.03
2020-02-14,Utilities,1556.43
2021-04-03,Salaries & Benefits,1184.83
2019-06-18,Utilities,1703.27
2019-08-04,Meals & Entertainment,1021.40
2020-12-10,Utilities,1560.94
2019-06-01,Utilities,1029.40
2019-11-29,Meals & Entertainment,1511.82
2020-09-18,Salaries & Benefits,528.08
2020-03-12,Vehicle Lease,1674.12
2019-05-06,Rent,938.91
2019-08-04,Rent,1610.25
2022-04-17,Rent,916.82
2021-12-25,Office Supplies,170.46
2022-05-17,Fuel,1458.63
2020-10-08,Vehicle Lease,1903.49
2020-03-26,Rent,815.86
2019-05-22,Meals & Entertainment,926.93
2021-06-27,Office Supplies,263.86
2019-03-15,Meals & Entertainment,836.74
2019-10-03,Rent,1234.58
2022-10-21,Rent,1465.35
2021-03-25,Salaries & Benefits,1421.44
2020-08-03,Salaries & Benefits,1615.71
2021-05-29,Salaries & Benefits,1418.07
2022-11-19,Rent,495.88
2021-11-21,Fuel,326.26
2020-08-19,Fuel,1122.86
2022-11-24,Rent,1124.15
2019-08-31,Rent,291.91
2022-10-21,Vehicle Lease,1038.67
2022-06-28,Salaries & Benefits,590.21
2020-11-15,Office Supplies,1720.15
2021-03-13,Vehicle Lease,270.10
2019-07-14,Office Supplies,404.60
2020-08-24,Salaries & Benefits,1671.51
2019-11-17,Rent,1899.56
2021-03-10,Rent,592.34
2021-10-18,Fuel,192.73
2021-09-15,Fuel,728.98
2020-08-20,Meals & Entertainment,1425.59
2020-02-22,Meals & Entertainment,1456.78
2019-11-13,Vehicle Lease,174.60
2019-02-01,Utilities,413.86
2022-05-26,Utilities,971.46
2019-12-30,Rent,1471.94
2022-04-29,Vehicle Lease,894.49
2021-08-11,Rent,780.63
2019-04-25,Utilities,1062.32
2020-07-07,Rent,1691.76
2019-04-06,Vehicle Lease,273.26
2022-10-29,Salaries & Benefits,1418.23
2021-06-19,Office Supplies,1552.33
2020-03-04,Meals & Entertainment,1767.70
2021-07-08,Fuel,293.62
2019-11-23,Meals & Entertainment,840.67
2021-08-03,Utilities,1978.87
2020-08-06,Meals & Entertainment,350.97
2020-05-09,Salaries & Benefits,1533.84
2021-01-25,Rent,1759.74
2020-12-13,Rent,1188.46
2021-01-06,Rent,227.27
2021-08-05,Vehicle Lease,1096.95
2021-03-01,Fuel,1869.05
2022-12-26,Utilities,1818.83
2019-11-02,Meals & Entertainment,962.27
2020-07-03,Salaries & Benefits,786.21
2020-09-27,Utilities,844.22
2019-06-11,Vehicle Lease,775.90
2019-02-28,Vehicle Lease,1815.15
2022-04-02,Salaries & Benefits,1935.21
2022-11-11,Vehicle Lease,812.24
2020-06-30,Salaries & Benefits,598.55
2022-09-04,Fuel,430.34
2021-01-24,Vehicle Lease,321.00
2022-04-30,Utilities,1226.43
2021-06-01,Meals & Entertainment,481.31
2020-07-28,Salaries & Benefits,1294.38
2020-01-15,Meals & Entertainment,1750.73
2019-01-06,Meals & Entertainment,475.15
2020-05-06,Office Supplies,1288.83
2020-03-18,Rent,1102.98
2019-02-18,Salaries & Benefits,306.05
2019-11-01,Utilities,186.35
2021-11-27,Meals & Entertainment,1255.10
2022-08-04,Utilities,973.57
2019-09-22,Office Supplies,948.44
2019-08-15,Salaries & Benefits,360.16
2022-03-01,Salaries & Benefits,145.88
2020-09-20,Office Supplies,1975.71
2021-03-21,Office Supplies,1641.35
2020-09-13,Utilities,1008.89
2021-08-24,Salaries & Benefits,1351.12
2022-06-20,Utilities,866.65
2022-06-29,Office Supplies,1315.80
2021-02-28,Rent,1058.17
2022-01-05,Salaries & Benefits,951.31
2019-02-26,Utilities,123.94
2019-02-02,Vehicle Lease,1573.76
2021-01-17,Fuel,980.29
2022-02-08,Salaries & Benefits,1917.17
2019-10-14,Utilities,1703.13
2022-05-23,Salaries & Benefits,1264.62
2022-12-29,Vehicle Lease,975.62
2019-06-21,Rent,1587.33
2020-03-20,Fuel,794.28
2021-08-19,Vehicle Lease,218.90
2020-01-01,Meals & Entertainment,830.71
2021-07-25,Salaries & Benefits,1098.53
2021-04-13,Salaries & Benefits,1177.41
2020-06-07,Office Supplies,360.07
2021-04-09,Salaries & Benefits,651.48
2019-04-23,Rent,1537.70
2021-10-06,Meals & Entertainment,1544.10
2020-08-04,Office Supplies,1843.89
